"","MR1","MR2","MR3","ID"
"1",0.387857066622927,-0.258803994365685,0.554420450491426,1
"2",-1.01562968239144,-0.909523687382206,-1.59543992048269,2
"3",-0.0708641815269515,-0.707773925960634,0.216644346226217,3
"4",-1.46369726960125,-0.947813988372271,0.0192198494842139,4
"5",-0.106684593738242,-0.562386181263815,-0.00871089446994604,5
"6",0.266565748114201,0.494070081532429,-0.288157134941267,6
"7",0.770570152154205,0.0580929429348017,0.231059580561047,7
"8",1.39615866673941,1.10125434669717,0.914196629037993,8
"9",0.0779092369493828,1.04852048625932,-0.633827350800547,9
"10",-0.672713704966622,-0.786991271439744,-1.00913829686782,10
"11",-0.427954347343594,-1.06967919306807,0.603440210941685,11
"12",0.0445957061863608,-0.838742442199327,-1.28112998797423,12
"13",1.4559052238109,0.996478381565991,2.55167258351939,13
"14",0.185507158947962,-0.36531273274464,1.01829032684052,14
"15",-0.237178070972871,-0.827225932957516,-1.06624498325254,15
"16",-0.198288912580755,0.900705758285586,0.626937698813566,16
"17",0.221755852400434,1.13702320890598,0.566346877573965,17
"18",0.327303381480428,-0.548425248213454,0.978348436546701,18
"19",1.39271974022842,-0.898777142876471,-0.501801911351353,19
"20",-1.00353759657544,0.29274925054822,-1.38005052109893,20
"21",-1.96522436443191,-1.43270212672051,-1.47724106051881,21
"22",0.481679628422734,0.24023182979478,-0.74608268845481,22
"23",-1.11822490932257,-0.422416700691135,-0.909462087671454,23
"24",-0.303355775293945,-0.06903170724249,-0.36963522462204,24
"25",-2.12319393999685,-1.31465803297939,-0.394020101914724,25
"26",-1.50151273842152,-1.76318056711288,-0.751824510030607,26
"27",0.800367673060108,1.50232015359305,1.49598174163622,27
"28",-0.687526850600948,-0.902423425272616,-1.75737349291383,28
"29",-2.26966619091371,-0.819331515265725,-1.71751910686032,29
"30",0.69865412201094,0.302118618516,1.26143055301565,30
"31",-0.847377580074459,-1.01407289205837,-1.18855698715612,32
"32",-1.10752254553476,-1.25593083953193,-1.31153052779365,33
"33",-1.20130153260132,-1.05776846268622,-0.881570952465119,34
"34",0.322088056600083,1.11332254484683,0.52325200107411,35
"35",0.903979718060128,-0.884456346220747,-1.12573979720583,36
"36",0.00592189238958482,-0.966406696649786,-0.0805720482112727,37
"37",-0.892229939767929,-1.44174053263633,0.769278501761875,38
"38",0.916669488625976,0.602051702211084,-0.0532180644129843,39
"39",0.728418934276289,-0.445129491865954,1.02820094606864,40
"40",0.42491333409391,-0.658908454843753,0.437811841001819,41
"41",-2.20015757106783,-1.12376232740496,-1.39836394172371,42
"42",0.913340237366913,0.647994409403768,1.41497637100305,43
"43",0.855787037072813,0.109104189186734,0.869282376529785,45
"44",1.65856930412929,0.547930465561088,1.41841073258487,46
"45",0.852550798156179,0.0304312984549084,-1.22315182750222,47
"46",0.955271861502592,-0.210508608725881,-1.1008935113675,48
"47",-1.1471754329067,-1.20132223385477,-0.0946453163630706,49
"48",1.36603402178298,1.47529848624031,0.49175949741893,50
"49",0.117151591340876,-0.666246097239199,-2.01182148339965,51
"50",-0.0375402566898018,0.0897819939880076,-1.33673149778981,52
"51",-0.402661224009067,-0.375520324651092,-0.569668213523181,53
"52",1.09391517554599,1.9574916606095,1.19256807748938,54
"53",-1.52403737543494,-1.02135814429638,-1.05333668567102,55
"54",0.225193431443011,-0.608224640481767,-0.218249281602475,56
"55",1.17248560494932,1.51548300231181,0.333260262813155,58
"56",-1.62470514823666,-0.404389456824769,0.899315912030035,59
"57",-0.12399424331253,-0.604270441168243,1.16458392339147,60
"58",1.0613773046332,0.0587873388834219,0.989186003474779,61
"59",-0.520819428368512,-0.392316247983066,-0.124364778931596,64
"60",-0.596791200504696,-0.500901844666472,-0.959880271812233,65
