ID,kraken_present,ls,beta,tau
1,0,0.8159575462341309,0.2527410387992859,0.03494859114289284
2,0,0.9325302839279175,0.21131762862205505,0.042396824806928635
3,0,1.150552749633789,0.04010501131415367,0.0295596644282341
4,0,0.909863293170929,0.2906288802623749,0.05785958096385002
5,0,0.9071963429450989,0.030292794108390808,0.050713155418634415
6,0,0.9031330347061157,0.023847486823797226,0.07117743045091629
7,0,1.2302781343460083,0.10589756816625595,0.028784899041056633
8,0,1.1903208494186401,-0.03173556923866272,0.0651492327451706
9,0,1.4969899654388428,0.19372740387916565,0.036961089819669724
10,0,0.7905604243278503,0.1824670135974884,0.07246442139148712
11,0,1.1586201190948486,0.2072647362947464,0.03535061702132225
12,0,0.915282130241394,0.30805304646492004,0.031814102083444595
13,0,0.9329520463943481,0.13323229551315308,0.05282185971736908
14,0,1.004032850265503,0.07109099626541138,0.04470689222216606
15,0,1.0816295146942139,0.055764827877283096,0.05847322940826416
16,0,1.0007116794586182,0.0799432098865509,0.058874353766441345
17,0,1.053332805633545,-0.15976355969905853,0.07100725919008255
18,0,1.3838434219360352,0.10719364136457443,0.03645145893096924
19,0,1.1835180521011353,0.23607231676578522,0.03722570091485977
20,0,0.975844144821167,0.024688608944416046,0.05750163272023201
21,0,1.1735999584197998,0.20189684629440308,0.06409303843975067
22,0,0.8716712594032288,0.09975408762693405,0.0429086834192276
23,0,1.1356396675109863,0.050618842244148254,0.052410949021577835
24,0,1.5562233924865723,-0.11069571226835251,0.0673663467168808
25,0,1.1670377254486084,-0.16327634453773499,0.0780690386891365
26,0,1.1967028379440308,0.030927596613764763,0.051984935998916626
27,0,0.9873818159103394,0.019254639744758606,0.049811795353889465
28,0,1.0195591449737549,0.005971767008304596,0.02909098193049431
29,0,1.2479493618011475,0.08094179630279541,0.03234855830669403
30,0,1.129385232925415,0.3023478090763092,0.028862303122878075
32,0,0.88890141248703,0.2783849835395813,0.036299120634794235
33,0,1.4964747428894043,0.025873389095067978,0.04668864235281944
34,0,0.9869334697723389,-0.06344600766897202,0.05135686323046684
35,0,1.0827481746673584,-0.04963019862771034,0.05450587347149849
36,0,1.500147819519043,0.005963391624391079,0.05497626215219498
37,0,0.9247740507125854,0.3104773461818695,0.03140964359045029
38,0,1.0490996837615967,-0.10095248371362686,0.060274481773376465
39,0,0.9455828666687012,0.07326719164848328,0.05349225550889969
40,0,0.9599689245223999,0.23917752504348755,0.03519463911652565
41,0,0.9990712404251099,0.031925272196531296,0.02523314580321312
42,0,0.8554830551147461,0.020222358405590057,0.040345992892980576
43,0,1.0287269353866577,-0.011108504608273506,0.03545700013637543
45,0,1.1601616144180298,0.18331101536750793,0.06462988257408142
46,0,0.9218340516090393,0.05921005830168724,0.048698343336582184
47,0,1.0835986137390137,0.1822727769613266,0.04001457616686821
48,0,0.9417924880981445,0.21617163717746735,0.038888536393642426
49,0,0.8542423844337463,0.05911802500486374,0.053258612751960754
50,0,1.0006606578826904,0.24779951572418213,0.05821900814771652
51,0,1.165927529335022,0.14205479621887207,0.04637264832854271
52,0,1.103975772857666,0.3153499960899353,0.056517716497182846
53,0,1.3709338903427124,-0.0030822190456092358,0.06290383636951447
54,0,1.0772273540496826,0.15241879224777222,0.032283965498209
55,0,0.836074948310852,0.21769841015338898,0.04679540917277336
56,0,1.0352743864059448,0.19660286605358124,0.03663533553481102
58,0,0.9452080130577087,0.0883573517203331,0.044219233095645905
59,0,0.939149796962738,0.06742087006568909,0.06495287269353867
60,0,1.0045126676559448,0.2208542376756668,0.05897544324398041
61,0,1.2350331544876099,0.07509783655405045,0.06051423400640488
64,0,1.2189915180206299,0.30279839038848877,0.04861756041646004
65,0,1.0209569931030273,-0.03289119154214859,0.06494516879320145
66,0,1.0946877002716064,0.062040477991104126,0.03502630069851875
67,0,1.1834385395050049,0.2778899073600769,0.028419949114322662
68,0,1.1109168529510498,0.0762258991599083,0.055494584143161774
69,0,1.233758807182312,0.12905459105968475,0.043933428823947906
70,0,1.2822902202606201,0.10324054956436157,0.03570276126265526
71,0,1.4469234943389893,0.17308954894542694,0.034078896045684814
72,0,1.0140159130096436,0.252238929271698,0.056671250611543655
73,0,1.3185228109359741,0.039623260498046875,0.03860090300440788
74,0,0.9727689623832703,0.09869794547557831,0.041250914335250854
75,0,1.1894372701644897,0.1074465662240982,0.037674158811569214
76,0,0.8026757836341858,0.29249516129493713,0.03581423684954643
77,0,1.0813754796981812,0.01898295059800148,0.055162593722343445
78,0,1.2548667192459106,-0.11618570238351822,0.07283301651477814
79,0,1.1867303848266602,0.0024171157274395227,0.04257529228925705
80,0,1.1490260362625122,0.12540070712566376,0.07051563262939453
81,0,1.0209940671920776,0.21267998218536377,0.04683750867843628
82,0,1.1369330883026123,0.03338802605867386,0.05680445581674576
83,0,0.9831426739692688,-0.062146030366420746,0.031753264367580414
84,0,0.8090742230415344,0.024214474484324455,0.05132510885596275
85,0,1.0870110988616943,0.11495952308177948,0.03824213519692421
