ID,kraken_present,ls,beta,tau
1,0,0.6513291001319885,0.38106393814086914,0.015751931816339493
2,0,0.9301947355270386,0.2788318395614624,0.037641674280166626
3,0,1.1134170293807983,0.06355408579111099,0.023038115352392197
4,0,1.3210495710372925,0.3044845461845398,0.07582694292068481
5,0,1.042806625366211,0.04735419526696205,0.03686562925577164
6,0,1.3931175470352173,0.021548615768551826,0.041731324046850204
7,0,1.3145772218704224,0.09291964769363403,0.021096989512443542
8,0,1.410284161567688,0.033645834773778915,0.025307482108473778
9,0,1.9244686365127563,0.13055916130542755,0.031238870695233345
10,0,0.6923492550849915,0.24593999981880188,0.07382737845182419
11,0,1.2204337120056152,0.3085009455680847,0.03133317455649376
12,0,0.7580304145812988,0.3779524564743042,0.022427469491958618
13,0,1.7320435047149658,0.062106844037771225,0.036005496978759766
14,0,1.3049373626708984,0.06250544637441635,0.03001362644135952
15,0,1.268751859664917,0.039120469242334366,0.04598325863480568
16,0,0.8919495344161987,0.13314785063266754,0.05082136392593384
17,0,0.7574784755706787,0.04061000794172287,0.030763592571020126
18,0,1.4308927059173584,0.11380668729543686,0.03639724478125572
19,0,1.3297888040542603,0.32831907272338867,0.023251673206686974
20,0,0.9531188011169434,0.10733702033758163,0.03574800118803978
21,0,2.0202841758728027,0.0668189749121666,0.03554859757423401
22,0,1.312793493270874,0.038063596934080124,0.035293567925691605
23,0,1.305392861366272,0.039303191006183624,0.053111180663108826
24,0,2.2038538455963135,-0.05085517466068268,0.02772277407348156
25,0,1.5213412046432495,-0.24090901017189026,0.07929647713899612
26,0,1.3201521635055542,0.04548312723636627,0.0326765738427639
27,0,0.9004663228988647,0.06607803702354431,0.03686775267124176
28,0,1.2469584941864014,-0.004033242352306843,0.027126530185341835
29,0,1.6209408044815063,0.052005548030138016,0.020192425698041916
30,0,1.2937670946121216,0.35118263959884644,0.02330124005675316
31,0,1.0006905794143677,0.007468712981790304,0.03423672541975975
32,0,1.0322965383529663,0.3171898126602173,0.028002962470054626
33,0,1.076829195022583,0.07359016686677933,0.03744709491729736
34,0,1.2286778688430786,0.04501284658908844,0.012409191578626633
35,0,0.8941932320594788,0.04663382098078728,0.02535768784582615
36,0,2.177016496658325,-0.013417085632681847,0.04751855507493019
37,0,0.9499067664146423,0.30623170733451843,0.02131044678390026
38,0,1.183286190032959,-0.012056689709424973,0.030167007818818092
39,0,1.1627774238586426,0.08899057656526566,0.03649767488241196
40,0,1.0019961595535278,0.29601696133613586,0.02173212543129921
41,0,0.9718954563140869,0.056306976824998856,0.020280621945858
42,0,0.7757596373558044,0.07744574546813965,0.02497125416994095
43,0,1.7237848043441772,-0.05176634341478348,0.03429494798183441
45,0,1.389819622039795,0.1480799913406372,0.03639739379286766
46,0,0.8266220688819885,0.11911211162805557,0.020504973828792572
47,0,0.9669986963272095,0.2925129234790802,0.02421434596180916
48,0,0.7935785055160522,0.34959888458251953,0.027788931503891945
49,0,0.8196060061454773,0.04427109286189079,0.050567153841257095
50,0,0.9711209535598755,0.33646008372306824,0.043271180242300034
51,0,1.309723973274231,0.060850076377391815,0.03875825181603432
52,0,1.6846870183944702,0.2529635727405548,0.04237639531493187
53,0,1.7326167821884155,0.027525048702955246,0.035803310573101044
54,0,1.181606411933899,0.20810331404209137,0.02539246715605259
55,0,0.7250217199325562,0.28664034605026245,0.029487045481801033
56,0,0.8378353118896484,0.37692809104919434,0.02199561707675457
57,0,0.48192694783210754,0.3476511538028717,0.04894725978374481
58,0,0.8172482252120972,0.13728868961334229,0.030119270086288452
59,0,0.724446177482605,0.15041501820087433,0.04514291509985924
60,0,1.00115168094635,0.3425632119178772,0.042432866990566254
61,0,1.1511807441711426,0.10948541015386581,0.043820299208164215
63,0,0.8071410059928894,0.016492607071995735,0.03808492422103882
64,0,1.483217477798462,0.30094486474990845,0.0340917706489563
65,0,1.9071025848388672,-0.053193602710962296,0.042961571365594864
66,0,1.1629106998443604,0.0771990567445755,0.02182852104306221
67,0,1.4364104270935059,0.1799798309803009,0.01564285345375538
68,0,1.5288153886795044,0.06620294600725174,0.03937908262014389
69,0,1.3001673221588135,0.11264751106500626,0.03613919019699097
70,0,1.6101490259170532,0.07313531637191772,0.032536596059799194
71,0,1.8018091917037964,0.3333372473716736,0.030325157567858696
72,0,1.1235400438308716,0.3266555070877075,0.03267012536525726
73,0,1.4586256742477417,0.04639905318617821,0.03003665618598461
74,0,1.1502338647842407,0.0683203637599945,0.03704409301280975
75,0,1.3997281789779663,0.060201793909072876,0.037097908556461334
76,0,0.6847748756408691,0.3792630136013031,0.01844012923538685
77,0,1.183794379234314,0.018639693036675453,0.03861934319138527
78,0,1.4987177848815918,-0.027367770671844482,0.0339210219681263
79,0,1.2433618307113647,0.02782660536468029,0.03553849831223488
80,0,1.3891710042953491,0.15011511743068695,0.04253775626420975
81,0,0.7360782623291016,0.3601474463939667,0.02143549546599388
82,0,1.290969967842102,0.039674706757068634,0.0392681285738945
83,0,0.9709339141845703,-0.05642729625105858,0.03819264471530914
84,0,1.098095417022705,0.0060798064805567265,0.039329078048467636
85,0,1.2608838081359863,0.09792469441890717,0.017642682418227196
86,0,0.8726152181625366,0.3605031967163086,0.022641699761152267
87,0,1.228029489517212,0.07485795021057129,0.035908233374357224
88,0,1.3956446647644043,0.11159563809633255,0.04513872414827347
89,0,1.594336748123169,0.02668279968202114,0.03150273859500885
90,0,2.199075222015381,0.02514791302382946,0.07840242236852646
91,0,1.1370525360107422,0.044471852481365204,0.040102943778038025
92,0,1.7587065696716309,-0.032174594700336456,0.05588119849562645
93,0,1.5606824159622192,0.05199111998081207,0.023225883021950722
94,0,1.651680588722229,0.02794867753982544,0.019491050392389297
95,0,0.6154586672782898,0.0937347412109375,0.029822124168276787
96,0,1.3225749731063843,0.2984701097011566,0.03510003536939621
98,0,1.2975648641586304,0.3522048592567444,0.048085376620292664
99,0,1.3175854682922363,0.29649659991264343,0.028522847220301628
100,0,0.4758230149745941,0.3460143804550171,0.047244053333997726
101,0,1.1111838817596436,0.06396953016519547,0.031539659947156906
102,0,1.929291009902954,0.007571777328848839,0.02807985246181488
103,0,1.700151801109314,0.019943179562687874,0.03913291171193123
104,0,1.6815288066864014,0.2978927195072174,0.0904114618897438
105,0,0.4740360677242279,0.3565119504928589,0.05079043656587601
106,0,1.3219423294067383,0.15868327021598816,0.04417210817337036
107,0,0.822296679019928,0.3467504680156708,0.022359535098075867
108,0,1.594330072402954,-0.015277053229510784,0.03765479102730751
109,0,1.2215126752853394,0.3234456479549408,0.021766135469079018
110,0,1.4536877870559692,-0.00597867276519537,0.04876185953617096
111,0,1.4502589702606201,0.03798030689358711,0.04467248171567917
112,0,0.7327209115028381,0.36411112546920776,0.02176029048860073
113,0,0.94110506772995,0.3639014959335327,0.02643148973584175
114,0,0.7133090496063232,0.16159100830554962,0.021629618480801582
115,0,1.1464364528656006,0.30736833810806274,0.025994524359703064
116,0,1.192252278327942,-0.03848222270607948,0.028718100860714912
117,0,0.8422335982322693,0.3333607614040375,0.02570100501179695
118,0,0.9706407785415649,0.12998619675636292,0.02331732213497162
119,0,1.5905653238296509,1.0470747611179831e-06,0.020936166867613792
120,0,1.2047829627990723,0.3150244653224945,0.029400870203971863
121,0,1.6709656715393066,0.29094094038009644,0.05737471207976341
122,0,1.1009762287139893,0.03695168346166611,0.03544693440198898
123,0,1.1906304359436035,-0.03390013426542282,0.028861289843916893
124,0,1.1898456811904907,0.08442900329828262,0.038631621748209
125,0,1.34483003616333,0.3126203417778015,0.0658976212143898
126,0,0.9813410043716431,0.3010471761226654,0.02226145565509796
128,0,1.8142493963241577,0.03642355650663376,0.030549924820661545
129,0,1.9709088802337646,0.0425507090985775,0.046235229820013046
130,0,1.0080015659332275,0.3002871572971344,0.024001363664865494
131,0,1.0064740180969238,0.0359945073723793,0.020112676545977592
132,0,0.6951650381088257,0.35493478178977966,0.011405791155993938
133,0,1.6655489206314087,0.028987089172005653,0.03840261325240135
134,0,1.3630560636520386,0.126467764377594,0.03891170769929886
135,0,1.3989100456237793,0.05205842852592468,0.03571506589651108
136,0,0.732666552066803,-0.06367271393537521,0.03002754971385002
137,0,1.2986527681350708,0.12383446097373962,0.024961024522781372
138,0,1.1891272068023682,0.09661189466714859,0.033245913684368134
139,0,0.7652779817581177,0.15187469124794006,0.02633025497198105
140,0,1.267022967338562,0.13342835009098053,0.03451095521450043
141,0,1.1182036399841309,-0.004328245297074318,0.02758568897843361
142,0,1.7503936290740967,0.0010314526734873652,0.03685135766863823
143,0,0.8985593318939209,0.12235474586486816,0.03569873049855232
144,0,1.892045497894287,0.3553868234157562,0.028560087084770203
145,0,1.5135984420776367,0.3220890462398529,0.03006828762590885
146,0,0.9193459153175354,0.32714223861694336,0.03537993133068085
147,0,1.407199740409851,0.07479089498519897,0.031495582312345505
148,0,1.3709361553192139,-0.1594448685646057,0.05960627645254135
149,0,1.5486751794815063,0.03050975687801838,0.0463288314640522
150,0,1.0047168731689453,0.33285394310951233,0.02601776458323002
151,0,1.1718734502792358,0.1396644115447998,0.053667012602090836
152,0,1.468138575553894,0.07624001055955887,0.045766085386276245
153,0,1.0619966983795166,-0.017002388834953308,0.025488879531621933
154,0,1.0214248895645142,0.3636617064476013,0.0360688716173172
155,0,1.500218152999878,0.06894104927778244,0.03335665538907051
156,0,0.6957417130470276,0.38192468881607056,0.017694419249892235
158,0,1.58211350440979,-0.014105139300227165,0.034066542983055115
159,0,1.0317846536636353,0.11856649070978165,0.036625903099775314
