model,kraken_present,se,logp,exceedance_probability
random,0.0,0.0,-47.95790672302246,0.09249683275760001
ucb_b0,0.0,4.014260253539403,-32.06514555486016,0.09324998713428746
ucb_lcb,0.0,4.803599546566254,-30.988855689277123,0.09487392754031758
ucb_lcb_n,0.0,4.1319910234629615,-29.688846713185498,0.7193792525677949
random,1.0,6.686637079082217,-29.169722031824517,0.09287392753697235
ucb_b0,1.0,5.069209701084083,-15.619083241977712,0.09562012891016201
ucb_lcb,1.0,6.353692585058058,-15.187800245050875,0.09742311328065403
ucb_lcb_n,1.0,6.07273738787952,-14.451258073879549,0.7140828302722116
