"ML1","ML2","ML4","ML3","measure","itemNumber","item"
0.139556684311086,0.11453280822527,0.0654263472951754,-0.00200431649919606,"AQ10",1,"AQ10_1"
-0.0251997497029035,0.0305170873484244,0.0657972767722001,0.19821789988163,"AQ10",2,"AQ10_10"
0.0912416432797442,-0.183037222845079,0.0874406272565468,0.0749408313933126,"AQ10",3,"AQ10_2"
-0.150959428228469,-0.0836970615885323,0.252107893366492,0.286311719671797,"AQ10",4,"AQ10_3"
-0.0445321993544536,-0.0695299627736157,0.51277373719364,0.13806179796843,"AQ10",5,"AQ10_4"
-0.113036063831809,-0.114793293925836,0.230539848827625,0.173538579982972,"AQ10",6,"AQ10_5"
-0.114545410668483,-0.0439758492019737,0.122036149459906,0.123520283509977,"AQ10",7,"AQ10_6"
0.0479358286325223,0.138628861524559,0.0050530465453818,0.0964124563972547,"AQ10",8,"AQ10_7"
0.16535142385282,0.280149671734005,-0.176781851762573,-0.00241605176257677,"AQ10",9,"AQ10_8"
-0.177534656659501,-0.0951968417561511,0.0598625495400955,0.231305558283346,"AQ10",10,"AQ10_9"
-0.0247022245240983,-0.00653051269321665,0.567847181709081,0.0481390920245582,"ASRS",11,"ASRS_1"
0.0649015342078008,0.0361799740163273,0.617011533881654,-0.035961694465209,"ASRS",12,"ASRS_10"
0.0808852152699272,-0.0362180499562421,0.644415546636086,0.0325882755040344,"ASRS",13,"ASRS_11"
0.0742337167219177,0.299881714585546,0.313369386953122,-0.0946411409074121,"ASRS",14,"ASRS_12"
0.26217131203161,0.0801101192386244,0.542398204252226,-0.0584457420059887,"ASRS",15,"ASRS_13"
0.274218868079725,-0.0167491098425764,0.426135044249364,0.00493926484488713,"ASRS",16,"ASRS_14"
0.203116199745551,0.141131413359976,0.445742827042686,-0.271125424170324,"ASRS",17,"ASRS_15"
0.1530131061013,0.130661384331472,0.457918951453383,-0.26760291997235,"ASRS",18,"ASRS_16"
0.111931954392293,0.261002219343304,0.464510362336943,-0.188075400092847,"ASRS",19,"ASRS_17"
0.0627826350956774,0.195187521569409,0.490006732420336,-0.179712551708513,"ASRS",20,"ASRS_18"
-0.0493518754933447,0.0524702311092384,0.609089445922584,0.140414758107066,"ASRS",21,"ASRS_2"
-0.00387493329103539,0.0641445693080534,0.577933729166805,0.0408668635239758,"ASRS",22,"ASRS_3"
0.0390763425406869,-0.0663777856356787,0.625436092510856,0.15834229500919,"ASRS",23,"ASRS_4"
0.197718641738432,0.0024920245764591,0.531209042167326,-0.0052668614953855,"ASRS",24,"ASRS_5"
0.249259164230987,0.23677773881454,0.288035378850273,-0.179874579424512,"ASRS",25,"ASRS_6"
-0.0611143800115516,0.109458324313633,0.630459922168568,0.0620648515577092,"ASRS",26,"ASRS_7"
0.018605001102732,-0.00204816827513647,0.683392036445912,0.0594028700657322,"ASRS",27,"ASRS_8"
0.0599475898319361,0.0330831412382457,0.639635492258164,0.0663308645894057,"ASRS",28,"ASRS_9"
0.355325415579633,-0.0866474492614131,0.0935879456716828,0.359071830089484,"CAPE",29,"CAPE_1"
0.397487203669965,0.279890194685713,-0.187310422735838,0.151254438820187,"CAPE",30,"CAPE_10"
0.260475824092488,0.366121984709024,-0.125218158234848,-0.162353603224477,"CAPE",31,"CAPE_11"
0.208972309225276,0.0215394695975076,0.00495108981123161,0.600405613038645,"CAPE",32,"CAPE_12"
0.234019999329397,0.351598462175372,-0.0442541966222963,-0.0589706538863657,"CAPE",33,"CAPE_13"
0.283994737886962,0.0414930334164099,0.0136874234092229,0.441148322365523,"CAPE",34,"CAPE_14"
0.274289247420344,0.227030692087728,-0.0995533443025947,-0.117904158143863,"CAPE",35,"CAPE_15"
0.0683607726390228,0.0290171872384839,0.0720608668140341,0.45915063328578,"CAPE",36,"CAPE_16"
0.250972683457348,0.242503804310979,-0.0361017369140619,0.0337282880371846,"CAPE",37,"CAPE_17"
0.114233522898472,-0.058624153272115,0.325742746632368,0.493385026020502,"CAPE",38,"CAPE_18"
0.504469592631843,-0.0713931695815254,0.112759154730952,0.031712932018191,"CAPE",39,"CAPE_19"
0.416171795481238,0.131427530823249,0.0350656525598699,0.149615025575824,"CAPE",40,"CAPE_2"
0.313867140576398,0.146481605484028,0.00214867195772184,-0.063336923167501,"CAPE",41,"CAPE_20"
0.193558729526909,-0.126871377718635,0.320730147539913,0.337477633443765,"CAPE",42,"CAPE_21"
0.328944652765881,0.12079358397692,0.00370691420053053,0.331539422576505,"CAPE",43,"CAPE_22"
0.222494289877475,0.136127588437695,-0.055348688714536,0.359568393982554,"CAPE",44,"CAPE_23"
0.187875646477829,0.0263524227887435,0.131973429741987,0.480890119460078,"CAPE",45,"CAPE_25"
0.0125878798488447,0.169371601672088,-0.0318735757404917,0.516996841445748,"CAPE",46,"CAPE_27"
0.197780498626966,-0.0810592330497228,-0.0202622855959584,0.421865003002025,"CAPE",47,"CAPE_29"
0.0256708754203757,-0.025141079033097,-0.0483096860168598,0.545585874089301,"CAPE",48,"CAPE_3"
0.357755802516535,0.260614616539412,-0.0288917818711049,0.0770920613795961,"CAPE",49,"CAPE_30"
0.0606652108683038,0.224035260333661,-0.0349884181334718,0.517311649056514,"CAPE",50,"CAPE_32"
0.188834071189196,0.0728197649452077,0.209632730672534,0.300564217319215,"CAPE",51,"CAPE_35"
0.125788489861135,-0.0609139202712636,0.385267005186075,0.372862308750521,"CAPE",52,"CAPE_36"
0.131186830076701,-0.0429933059466384,0.107592857153257,0.414729487153694,"CAPE",53,"CAPE_37"
0.358601173336903,-0.0632428592365947,0.163498588127153,0.272929586655637,"CAPE",54,"CAPE_38"
0.271463224716788,-0.113000854420376,0.159948994766259,0.520252150566866,"CAPE",55,"CAPE_39"
0.00757949403036942,-0.101914675286403,-0.0854634625335901,0.575671864053993,"CAPE",56,"CAPE_4"
0.472908405505145,-0.0841623755793229,0.223673993549989,0.138909051063066,"CAPE",57,"CAPE_40"
0.412422603290055,0.20373372900817,-0.156662331407118,-0.0215456840151454,"CAPE",58,"CAPE_5"
0.272640091020752,0.150441198173833,0.00146371462082781,0.242676778673566,"CAPE",59,"CAPE_6"
0.40909305777878,0.244331415265591,-0.135070249170738,0.230339418420828,"CAPE",60,"CAPE_7"
-0.00900132610781264,0.252090578856822,-0.0394503278944217,0.512161112578124,"CAPE",61,"CAPE_8"
0.19863553357456,-0.00337305582889144,0.0126021557048274,0.539079113789415,"CAPE",62,"CAPE_9"
